Lon,Lat,label,DEM,slope,slope_aspect,SPI,TWI,plan_curvature,general_curvature,soiltype,landcover,distance_to_river
-0.6187146519373208,8.213970379167876,0,76.0,2.31903,53.1301,25301.96484,13.13986,0.0,0.0,WR,90.0,100.0
-0.6164688637270217,8.213970379167876,0,74.0,0.92804,180.0,13801.07422,14.36592,0.0,0.0,WR,90.0,100.0
-0.6142230755167226,8.213970379167876,1,75.0,0.0,,18720.13672,14.53362,0.0,0.0,WR,90.0,100.0
-0.6119772873064235,8.213970379167876,1,75.0,0.0,,22661.21875,14.72453,0.0,0.0,WR,80.0,100.0
-0.6097314990961245,8.213970379167876,1,75.0,0.0,,26602.30078,14.88477,0.0,0.0,WR,80.0,100.0
-0.6074857108858271,8.213970379167876,1,75.0,0.0,,30543.38086,15.02285,0.0,0.0,WR,80.0,100.0
-0.6052399226755281,8.213970379167876,1,75.0,0.0,,34484.46484,15.14415,0.0,0.0,WR,80.0,100.0
-0.602994134465229,8.213970379167876,0,75.0,0.0,,38918.18359,15.26505,0.0,0.0,WR,80.0,100.0
-0.6007483462549299,8.213970379167876,0,75.0,0.0,,42859.26172,15.36147,0.0,0.0,WR,80.0,100.0
-0.5985025580446308,8.213970379167876,0,75.0,0.0,,46800.34375,15.44941,0.0,0.0,WR,80.0,100.0
-0.5962567698343317,8.213970379167876,0,75.0,0.0,,50741.42578,15.53024,0.0,0.0,WR,80.0,100.0
-0.5940109816240327,8.213970379167876,0,75.0,0.0,,54682.50391,15.60502,0.0,0.0,WR,80.0,100.0
-0.641172534040308,8.211724590957576,0,93.0,2.3649,101.30994,1172.8656,10.05915,0.02171,0.00105,WR,20.0,800.0
-0.638926745830009,8.211724590957576,0,85.0,1.91265,104.03624,948.388,10.27159,0.00818,-2e-05,WR,20.0,800.0
-0.6366809576197099,8.211724590957576,0,82.0,0.32814,225.0,53998.88281,17.80862,-5.76649,-0.00201,WR,90.0,400.0
-0.6344351694094126,8.211724590957576,0,84.0,1.03755,116.56505,514.33569,10.88348,0.06916,0.00213,WR,90.0,400.0
-0.6321893811991135,8.211724590957576,0,77.0,2.82048,279.46234,8337.94824,11.65522,-0.01347,-0.0,WR,90.0,100.0
-0.6299435929888144,8.211724590957576,0,83.0,1.96806,225.0,2300.17871,10.75634,0.00439,-0.0,WR,90.0,400.0
-0.6276978047785153,8.211724590957576,0,82.0,3.29412,219.28941,14753.45313,12.29442,0.00095,-0.00197,WR,90.0,400.0
-0.6254520165682163,8.211724590957576,0,83.0,1.03755,153.43495,487.94165,10.93616,0.01156,0.00212,WR,90.0,400.0
-0.6232062283579172,8.211724590957576,0,55.0,11.66724,221.82018,66196.0625,10.39258,0.0,0.0,WR,90.0,400.0
-0.6209604401476199,8.211724590957576,0,78.0,10.87366,325.30484,2282.86084,9.39317,0.0279,-0.00087,WR,90.0,100.0
