,Lon,Lat,DEM,slope,slope_aspect,SPI,STI,TWI,plan_curvature,general_curvature,soiltype,landcover,distance_to_river,label
64,-0.625991005738689,8.30398157063665,75.0,0.0,,8374.79785,,13.73029,0.0,0.0,WR,80.0,800.0,1
65,-0.863146240746241,8.5478741702751,78.0,3.95861,69.44395,1965.27271,3.42258,9.54297,0.01742,0.00206,WR,90.0,3000.0,1
66,-0.41578522925472,8.15279510831934,75.0,0.0,,240405.96875,,17.08558,0.0,0.0,WR,80.0,400.0,1
67,-0.704413930042323,8.34763969344486,75.0,0.0,,362579.5,,17.49647,0.0,0.0,WR,80.0,400.0,1
68,-0.797389561948693,8.54733518110463,78.0,0.46405,90.0,2100293.5,,20.77625,-0.00018,-0.00107,Lp,90.0,100.0,1
69,-0.656982883040811,8.30991045151184,75.0,0.0,,51234.0625,,15.5399,0.0,0.0,WR,80.0,3000.0,1
70,-0.856139381530109,8.54248427857038,76.0,0.0,,8867.43359,,13.78734,-0.03398,-1e-05,WR,90.0,1200.0,1
71,-0.80601338867624,8.40450305092963,77.0,0.98432,135.0,3415.59131,,12.85523,0.0,0.0,WR,90.0,400.0,1
72,-0.70522241379803,8.37405016279797,80.0,0.0,,2463.17603,,12.51099,0.0042,0.0,WR,90.0,1200.0,1
73,-0.749150031191474,8.32931406164882,75.0,0.0,,26109.66602,,14.86609,0.0,0.0,WR,80.0,2000.0,1
74,-0.7839148326869,8.39722669712826,75.0,0.0,,3448.44629,,12.84565,0.0,0.0,WR,80.0,800.0,1
75,-0.710073316332275,8.32284619160316,75.0,0.0,,72910.00781,,15.89263,0.0,0.0,WR,80.0,1200.0,1
76,-0.393956167850616,8.24577074022571,75.0,0.98432,315.0,6357391.5,,20.37971,-0.01915,-1e-05,WR,90.0,100.0,1
77,-0.83916122266025,8.440345830766,75.0,0.0,,6896.89258,,13.53653,0.0,0.0,WR,80.0,400.0,1
78,-0.851018984410628,8.43630341198746,79.0,0.98432,45.0,4391.47461,,13.10553,-0.01135,-0.00209,WR,90.0,100.0,1
79,-0.766128190061334,8.45004763583449,76.0,0.0,,16749.5957,,14.4225,0.0,0.0,WR,90.0,100.0,1
80,-0.714115735110813,8.37836207616175,79.0,0.0,,18227.50195,,14.50698,0.0,0.0,WR,90.0,400.0,1
81,-0.516306709547694,8.22825359218537,75.0,0.0,,19705.4082,,14.58488,0.0,0.0,WR,80.0,800.0,1
82,-0.768823135913692,8.44654420622642,75.0,0.0,,44829.80469,,15.40641,0.0,0.0,WR,90.0,400.0,1
83,-0.863146240746241,8.54895214861605,76.0,1.76652,66.80141,3503.52832,17.25906,11.71397,0.00028,-0.00211,WR,90.0,3000.0,1
84,-0.701988478775199,8.37054673318991,80.0,0.0,,985.27039,,11.60416,-0.01116,-1e-05,WR,90.0,800.0,1
85,-0.644047142949491,8.32877507247835,75.0,0.0,,35962.36719,,15.1861,0.0,0.0,WR,80.0,400.0,1
86,-0.845359598120675,8.49343626405746,75.0,0.0,,10837.97363,,13.98769,0.0,0.0,WR,80.0,400.0,1
87,-0.680159417371096,8.32850557789311,75.0,0.0,,83255.35156,,16.02529,0.0,0.0,WR,80.0,400.0,1
88,-0.594999128436564,8.15953247295023,75.0,0.0,,1432583.125,,18.87043,0.0,0.0,WR,90.0,100.0,1
89,-0.444890644460193,8.16411388089924,75.0,0.0,,283757.875,,17.25136,0.0,0.0,WR,80.0,800.0,1
90,-0.476421510932788,8.18675142605905,74.0,0.0,,574905.3125,,17.95742,0.0,0.0,WR,90.0,400.0,1
91,-0.752114471629069,8.34979565012675,75.0,0.0,,80299.53125,,15.98915,0.0,0.0,WR,80.0,1600.0,1
92,-0.396381619117738,8.24415377271429,75.0,0.0,,22168.58203,,14.70257,0.0,0.0,WR,90.0,400.0,1
93,-0.789304724391616,8.33335648042736,75.0,0.0,,58623.58984,,15.67459,0.0,0.0,WR,80.0,100.0,1
94,-0.788765735221146,8.39857417005444,79.0,1.85559,90.0,920.07159,8.43602,10.3019,0.03034,0.00171,WR,80.0,100.0,1
95,-0.599041547215103,8.12934907940382,75.0,0.0,,57145.68359,,15.64907,0.0,0.0,WR,90.0,400.0,1
96,-0.541100211389393,8.23094853803773,74.0,0.98432,45.0,182002.23438,,16.82644,0.0,0.0,WR,80.0,400.0,1
97,-0.717888659304116,8.31044944068231,77.0,2.96877,51.34019,169115.89063,,14.12217,0.0,0.0,WR,90.0,100.0,1
98,-0.707108875894681,8.35141261763816,75.0,0.0,,699541.9375,,18.15364,0.0,0.0,WR,80.0,400.0,1
99,-0.836735771393128,8.5403283218885,75.0,0.7337,341.56506,514.33569,,10.88348,0.0232,0.00166,WR,90.0,400.0,1
100,-0.692017179121473,8.27325918791976,75.0,0.0,,30050.74609,,15.0066,0.0,0.0,WR,90.0,400.0,1
101,-0.709534327161803,8.37458915196845,81.0,0.65625,315.0,325.29449,8.09607,11.34162,0.04606,0.00205,WR,90.0,800.0,1
102,-0.680698406541566,8.35734149851335,78.0,0.0,,15271.69043,,14.33022,0.0,0.0,WR,90.0,1200.0,1
103,-0.631111402858169,8.15414258124551,75.0,0.0,,12315.87988,,14.11535,0.0,0.0,WR,90.0,400.0,1
104,-0.799006529460108,8.33712940462066,75.0,0.0,,20198.04297,,14.60955,0.0,0.0,WR,90.0,800.0,1
105,-0.768014652157984,8.33173951291595,75.0,0.0,,20198.04297,,14.60955,-0.01347,-0.0,WR,80.0,400.0,1
106,-0.765589200890862,8.41582182350953,75.0,0.0,,9852.7041,,13.89252,0.0,0.0,WR,80.0,400.0,1
107,-0.731902377736379,8.29859167893193,75.0,0.98432,315.0,13174.42383,,14.20179,0.0,0.0,WR,90.0,400.0,1
108,-0.397459597458681,8.17139023470061,75.0,0.0,,1626.47241,,14.30915,-0.00632,-0.0,WR,90.0,1200.0,1
109,-0.483428370148919,8.1991481769799,75.0,0.0,,7882.16309,,13.66978,0.0,0.0,WR,90.0,800.0,1
110,-0.619792630278264,8.21666532502023,75.0,0.0,,42859.26172,,15.36147,0.0,0.0,WR,90.0,400.0,1
111,-0.673422052740198,8.32095972950651,75.0,0.0,,13731220.0,,21.13062,-0.01915,-1e-05,WR,80.0,1200.0,1
112,-0.655365915529396,8.31610882697226,75.0,0.0,,54189.87109,,15.59597,0.0,0.0,WR,80.0,1600.0,1
113,-0.755078912066663,8.41447435058335,75.0,0.0,,492.63519,,10.92659,0.02414,1e-05,WR,80.0,800.0,1
114,-0.838891728075014,8.4697207405567,83.0,1.76652,66.80141,650.58887,7.38625,10.64848,0.00085,-4e-05,WR,80.0,400.0,1
115,-0.377516998151229,8.25089113734519,77.0,0.0,,5418.98682,,13.29599,-0.02225,-1e-05,WR,90.0,400.0,1
116,-0.487470788927458,8.19187182317853,75.0,0.0,,192127.73438,,16.86143,0.0,0.0,WR,80.0,400.0,1
117,-0.694712124973831,8.36650431441137,80.0,0.32814,225.0,2277.06128,,14.64472,-0.94295,-1e-05,WR,90.0,100.0,1
118,-0.772326565521759,8.07464167860094,82.0,0.46405,180.0,230.01791,,11.6882,0.01778,1e-05,WR,90.0,800.0,1
119,-0.472379092154251,8.18324799645099,75.0,0.0,,228582.73438,,17.03515,0.0,0.0,WR,80.0,400.0,1
120,-0.40150201623722,8.15010016246698,75.0,0.0,,262574.5625,,17.17378,0.0,0.0,WR,90.0,400.0,1
121,-0.579368442492886,8.1315050360857,76.0,0.98432,135.0,41962.98047,,15.35949,0.0,0.0,WR,90.0,400.0,1
122,-0.77151808176605,8.37809258157651,75.0,0.0,,32513.92188,,15.08534,0.0,0.0,WR,80.0,400.0,1
123,-0.85937331655294,8.50152110161453,80.0,1.96806,45.0,975.88324,,10.24301,3.66667,0.0,WR,80.0,800.0,1
124,-0.710612305502748,8.30101713019906,75.0,0.0,,34484.46484,,15.14415,0.0,0.0,WR,90.0,1200.0,1
125,-0.394495157021087,8.23795539725387,77.0,0.0,,492.63519,,10.92659,0.0074,-0.0,WR,80.0,400.0,1
126,-0.658869345137463,8.25277759944184,75.0,0.0,,22661.21875,,14.72453,0.0,0.0,WR,90.0,1200.0,1
127,-0.768553641328456,8.3554550364167,74.0,1.64025,45.0,129304.53906,,15.46305,0.0,0.0,WR,90.0,100.0,1
128,-0.797120067363457,8.39102832166783,75.0,0.0,,38425.54297,,15.25232,0.0,0.0,WR,90.0,100.0,1
