Flood_ID,Lon,Lat,Duration,Max_Duration,Event_Start_Date,Event_End_Date,Mean_Rainfall,Median_Rainfall,Max_Continuous_Rainy_Days,Max_Continuous_Rainfall,Max_Single_Day_Rainfall,Max_Rainfall_Increase,DEM,slope,slope_aspect,SPI,STI,TWI,plan_curvature,general_curvature,soiltype,landcover,distance_to_river,label
ROI1_2320,-0.6176366735963761,8.298322184346699,4,26,2003-08-10,2003-09-05,8.431510595174936,0.0,3,68.1276683807373,45.4184455871582,28.434972763061523,75.0,0.0,,27587.57031,,14.92112,0.0,0.0,WR,80.0,400.0,1
ROI1_2320,-0.6917476845362369,8.337398899205898,19,26,2003-08-10,2003-09-05,8.212686502016508,0.0,2,69.47854614257812,46.31903076171875,26.310840606689453,75.0,0.0,,109857.64844,,16.30252,0.0,0.0,WR,80.0,400.0,1
ROI1_2320,-0.6259910057386886,8.303981570636651,9,26,2003-08-10,2003-09-05,7.96853861441979,0.0,2,67.14791107177734,44.76527404785156,25.056312561035156,75.0,0.0,,8374.79785,,13.73029,0.0,0.0,WR,80.0,800.0,1
ROI1_2320,-0.8631462407462411,8.5478741702751,1,26,2003-08-10,2003-09-05,8.46991175871629,0.0,2,66.38677215576172,41.49173355102539,41.49173355102539,78.0,3.95861,69.44395,1965.27271,3.42258,9.54297,0.01742,0.00206,WR,90.0,3000.0,1
ROI1_2320,-0.4157852292547197,8.152795108319335,14,26,2003-08-10,2003-09-05,8.025999527711134,0.0,2,60.79142761230469,39.16219711303711,39.16219711303711,75.0,0.0,,240405.96875,,17.08558,0.0,0.0,WR,80.0,400.0,1
ROI1_2320,-0.7044139300423229,8.34763969344486,19,26,2003-08-10,2003-09-05,7.887873209439791,0.0,2,67.20296287536621,44.80197525024414,26.104032516479492,75.0,0.0,,362579.5,,17.49647,0.0,0.0,WR,80.0,400.0,1
ROI1_2320,-0.7973895619486928,8.54733518110463,4,26,2003-08-10,2003-09-05,8.220047914064848,0.0,3,66.88229370117188,50.161720275878906,35.40248107910156,78.0,0.46405,90.0,2100293.5,,20.77625,-0.00018,-0.00107,Lp,90.0,100.0,1
ROI1_2320,-0.6569828830408113,8.30991045151184,20,26,2003-08-10,2003-09-05,8.212686502016508,0.0,2,69.47854614257812,46.31903076171875,26.310840606689453,75.0,0.0,,51234.0625,,15.5399,0.0,0.0,WR,80.0,3000.0,1
ROI1_2320,-0.8561393815301095,8.542484278570385,11,26,2003-08-10,2003-09-05,8.46991175871629,0.0,2,66.38677215576172,41.49173355102539,41.49173355102539,76.0,0.0,,8867.43359,,13.78734,-0.03398,-1e-05,WR,90.0,1200.0,1
ROI1_2320,-0.8060133886762397,8.404503050929625,9,26,2003-08-10,2003-09-05,7.559836681072529,0.0,2,54.82600212097168,39.50828552246094,34.26625061035156,77.0,0.98432,135.0,3415.59131,,12.85523,0.0,0.0,WR,90.0,400.0,1
ROI1_2320,-0.7052224137980296,8.374050162797975,6,26,2003-08-10,2003-09-05,8.176556403820332,0.0,4,54.68508052825928,41.01380920410156,31.021331787109375,80.0,0.0,,2463.17603,,12.51099,0.0042,0.0,WR,90.0,1200.0,1
